G1,G2,G3,G4,G5,V_GMPP,P_Max
1000,800,400,300,100,72.7332611866005,284.963790167055
900,900,400,300,100,71.0082700670362,304.760169537741
1000,900,400,300,100,71.9357569512164,315.18194315104
1000,1000,400,300,100,70.9838987552552,338.656711796766
500,500,500,300,100,107.203202617628,256.552483534857
600,500,500,300,100,108.842257242065,264.272793907818
700,500,500,300,100,109.703161193461,267.02733575053
800,500,500,300,100,110.322806699939,268.723614334901
900,500,500,300,100,110.765965756488,269.949900511652
1000,500,500,300,100,111.139569022495,270.911791083972
600,600,500,300,100,110.972888588865,273.933897723831
700,600,500,300,100,111.784113886175,276.84046250442
800,600,500,300,100,112.450686944073,278.613578116908
900,600,500,300,100,112.890781474992,279.889980385484
1000,600,500,300,100,113.426940187175,280.889376039088
700,700,500,300,100,112.865772542268,279.817643143482
800,700,500,300,100,113.593224548957,281.618598752983
900,700,500,300,100,114.111437709542,282.88421516381
1000,700,500,300,100,114.6171691405,283.879721805311
800,800,500,300,100,115.086895457273,283.849516075136
900,800,500,300,100,114.727020378865,284.677301542622
1000,800,500,300,100,115.281731011821,285.666961833747
900,900,500,300,100,70.8278536129625,304.758280590502
1000,900,500,300,100,71.8738265650129,315.189055848427
1000,1000,500,300,100,70.8999107876035,338.655680059425
600,600,600,300,100,107.774627610227,309.064828952524
700,600,600,300,100,109.07244836478,317.499689222175
800,600,600,300,100,109.969436879937,320.73365617695
900,600,600,300,100,110.473048131313,322.741324990993
1000,600,600,300,100,111.070028905946,324.19677659886
700,700,600,300,100,110.981220130476,328.381029100876
800,700,600,300,100,111.62896548498,331.548072083292
900,700,600,300,100,112.388113752003,333.651083228096
1000,700,600,300,100,112.898008901497,335.174165976549
800,800,600,300,100,112.455003253988,335.321992190622
900,800,600,300,100,113.233956371251,337.970722226004
1000,800,600,300,100,114.027401249838,338.715428954787
900,900,600,300,100,114.495413016387,340.513260999802
1000,900,600,300,100,114.515186501851,340.943806980729
1000,1000,600,300,100,115.197545203238,342.403234581793
700,700,700,300,100,108.005294545169,361.479600507082
800,700,700,300,100,109.140585987855,370.522805943762
900,700,700,300,100,110.018009523954,374.207704027915
1000,700,700,300,100,110.643482618195,376.516446837765
800,800,700,300,100,110.60255989171,381.813342968504
900,800,700,300,100,111.51640206884,385.829514059737
1000,800,700,300,100,112.190870988848,388.296923909258
900,900,700,300,100,112.687994544641,390.218620375633
1000,900,700,300,100,113.007391730912,392.227316603045
1000,1000,700,300,100,113.814125368884,394.853646350488
800,800,800,300,100,108.198283994913,413.730123666724
900,800,800,300,100,109.143173155527,423.291029872571
1000,800,800,300,100,110.089251402508,427.400002566764
900,900,800,300,100,110.467492042091,435.223753901789
1000,900,800,300,100,111.335556976486,439.757723980743
1000,1000,800,300,100,112.264406910794,446.187858078711
900,900,900,300,100,108.269716512672,465.772708213898
1000,900,900,300,100,109.119655220388,475.78412418236
1000,1000,900,300,100,110.184972487651,488.282512511656
1000,1000,1000,300,100,108.313806258302,517.572534238473
400,400,400,400,100,143.443066743444,274.587683340423
500,400,400,400,100,145.091044347949,281.340794760011
600,400,400,400,100,146.268009629656,283.555057673225
700,400,400,400,100,146.951989749043,285.083400257364
800,400,400,400,100,147.227832321918,285.898079625171
900,400,400,400,100,147.55665354809,286.667512189633
1000,400,400,400,100,148.03420276882,287.490253799635
500,500,400,400,100,138.952026709178,293.373460779853
600,500,400,400,100,148.33083127514,291.429803583103
700,500,400,400,100,149.082445347332,292.827028242854
800,500,400,400,100,149.536430823621,293.849783443725
900,500,400,400,100,150.041297579376,294.63998347353
1000,500,400,400,100,150.196352844684,295.26572337366
600,600,400,400,100,149.461413152632,293.768900973542
700,600,400,400,100,150.210232745257,295.155196948768
800,600,400,400,100,150.506605961555,296.174750776771
900,600,400,400,100,150.884586093818,296.963171845606
1000,600,400,400,100,151.269225327602,297.609314572474
700,700,400,400,100,151.03765967466,296.57820101337
800,700,400,400,100,151.254570519765,297.590413644007
900,700,400,400,100,151.736827651844,298.372985313065
1000,700,400,400,100,151.884942127165,299.018897900812
800,800,400,400,100,151.835490434848,298.595044005209
900,800,400,400,100,152.099883704071,299.384736248193
1000,800,400,400,100,152.441740865184,300.031610034757
900,900,400,400,100,71.0062086305867,304.762595607954
1000,900,400,400,100,71.9160206588916,315.185231200296
1000,1000,400,400,100,71.0589109944829,338.654446034236
500,500,500,400,100,149.975836539115,298.683948878824
600,500,500,400,100,151.145397666946,301.598689450671
700,500,500,400,100,149.868296744522,305.142311906031
800,500,500,400,100,151.267264518545,304.273264970999
900,500,500,400,100,151.305583610271,307.716590248266
1000,500,500,400,100,153.057458946455,305.003903295671
600,600,500,400,100,151.068363788643,304.682100656169
700,600,500,400,100,153.062419216715,304.965421096462
800,600,500,400,100,152.580056468694,306.193252245196
900,600,500,400,100,154.018251605682,306.808457611322
1000,600,500,400,100,154.061064288566,307.487181511726
700,700,500,400,100,153.706850057087,306.422811111606
800,700,500,400,100,154.741176087672,307.593094457348
900,700,500,400,100,153.977875613403,310.028819849853
1000,700,500,400,100,154.952468093459,308.918632559597
800,800,500,400,100,154.895094845769,308.565690676328
900,800,500,400,100,154.899069645394,309.598925321754
1000,800,500,400,100,155.392995515773,309.987798362712
900,900,500,400,100,155.540646158216,312.967981647647
1000,900,500,400,100,71.8435577633506,315.192752974861
1000,1000,500,400,100,71.0157917224114,338.66607839044
600,600,600,400,100,107.673607811588,309.068390232085
700,600,600,400,100,109.027081387405,317.501218673149
800,600,600,400,100,109.997447181524,320.734108660432
900,600,600,400,100,110.642725432363,322.740009081073
1000,600,600,400,100,111.007723019919,324.203556795666
700,700,600,400,100,111.083402249998,328.302295089138
800,700,600,400,100,108.102098840417,344.009894301994
900,700,600,400,100,112.406664110855,333.652173096185
